SALON,Address,City,ST,Zip,DSC,Six Month Sale
BEYOND CLASSIC,7320 N EASTERN,MOORE,OK,73160,Vicki,35.87
BEYOND KOLOR,211 S 4TH ST ,YUKON,OK,73099,Pam,78
BILLIE'S BARBER SHOP,418 W MAIN ST,YUKON,OK,73099,Pam,0
BILL'S BARBER & STYLE,83 MONROE NORTHEAST,PIEDMONT,OK,73078,Pam,266.04
BLISS,7148 NW 112TH ST,OKLAHOMA CITY,OK,73162,Pam,221.89
BLISS SALON & SPA,112 W MAIN,WEATHERFORD,OK,73096,Pam,8189.86
BLUE JAYS BARBER SHOP,122 E BROADWAY,ENID,OK,73701,Michael,0
BOARDWALK SALON,5845 NW 72ND PLACE,OKLAHOMA CITY,OK,73132,Pam,1231.74
BOARDWALK SALON,5845 NW 72ND PLACE,WARR ACRES,OK,73132,Michael,131.95
BOB SHOP,3617 N W 19TH,OKLAHOMA CITY,OK,73107,Michael,211.97
BOBBIE'S BEAUTY SALON,936 SW 59TH STREET,OKLAHOMA CITY,OK,73109,Pam,244.26
BOBBY ORTEGA,15017 MADDER DR,EDMOND,OK,73013,Michael,0
BOBS STYLE SHOP,I40 MERIDIAN,OKLAHOMA CITY,OK,73108,Michael,0
BODY & HAIR SALON,6610 N MAY AVE,OKLAHOMA CITY,OK,73116,Pam,0
BODY LUXE SALON,210 N HOKE,STILLWATER,OK,74075,Michael,0
BODYTRENDS ELECTRO SPA & SALON,9327 N PENNSYLVANIA,OKLAHOMA CITY,OK,73120,Pam,5416.45
BOOMER'S,121 E WATERLOO,EDMOND,OK,73034,Michael,0
BORGATA SALON,9201 N PENNSYLVANIA AVENUE,OKLAHOMA CITY,OK,73120,Pam,2019.13
BOSS SALON,516 W BRITTON RD,OKLAHOMA CITY,OK,73120,Pam,77.03
BOULEVARD SALON,301 S BOULEVARD ,EDMOND,OK,73034,Michael,1299.31
BOULEVARD SPA & STYLE,1401 DOUGLAS BLVD,MIDWEST CITY,OK,73110,Vicki,0
BRADLEY BRIAN SALON,6512 NW EXPRESSWAY,OKLAHOMA CITY,OK,73132,Michael,627.09
BRENDA'S BEAUTY SALON,411 1/2 E HARISON AVE,GUTHRIE,OK,73044,Michael,0
B-RENUED,2411 HERITAGE TRAIL,ENID,OK,73703,Michael,3627.16
BROADWAY HAIR,515 N MADISON,BLANCHARD,OK,73010,Vicki,0
BROADWAY LITES,110 N BROADWAY,WEATHERFORD,OK,73096,Pam,0
BROWN & COMPANY,12411 N ROCKWELL,OKLAHOMA CITY,OK,73142,Pam,0
BUSHWACKERS,5103A N SHARTEL,OKLAHOMA CITY,OK,73118,Pam,139.84
BYNG COSMETOLOGY,500 S NEW BETHEL BLVD,ADA,OK,74820,Vicki,436.55
CABELLA SALON,426 E 2ND,EDMOND,OK,73034,Michael,1538.99
CAMEO BEAUTY SHOP,409 MAIN STREET,WOODWARD,OK,73801,Pam,74.21
CAMEO SALON & SPA,1113 NW 50TH ST,OKLAHOMA CITY,OK,73118,Michael,3127.47
CAMEO SALON & SPA,1113 NW 50TH ST,OKLAHOMA CITY,OK,73118,Pam,1972.32
CAMILLIA'S,10966 N MAY AVE,OKLAHOMA CITY,OK,73120,Pam,898.32
