SALON,Address,City,ST,Zip,DSC,Six Month Sale
NOREEN'S SKIN CARE,10802 QUAIL PLAZA DR ,OKLAHOMA CITY,OK,73120,Pam,35.5
NUEVO ESTILO JAHYVER'S,2726 SW 44TH ST,OKLAHOMA CITY,OK,73159,Pam,0
NV SALON & SPA,204 W MAIN,ADA,OK,74820,Vicki,19900.63
NV THE SPALON,1701 E 2ND ST STE,EDMOND,OK,73034,Michael,0
O G'S PLACE,715 E MAIN,ADA,OK,74820,Vicki,394.75
OASIS,1349 W LINDSEY,NORMAN,OK,73069,Vicki,82.37
OBSSESSED OVER HAIR,7000 NW EXPRESSWAY,OKLAHOMA CITY,OK,73132,Michael,808.33
OKLAHOMA HEALTH ACADEMY,1939 N MOORE AVE,MOORE,OK,73160,Vicki,281.29
OLD TOWN FLOWER SHOP,100 MONROE NW,PIEDMONT,OK,73078,Pam,246.79
ON BROADWAY SALON,109 W MAIN,MOORE,OK,73160,Vicki,548.05
ONE CUT ABOVE,211 E MCELROY,STILLWATER,OK,74074,Michael,2352.15
ONE WILD HAIR,4232 SW 149TH,OKLAHOMA CITY,OK,73170,Vicki,690.42
OPHELIA'S HAIR DESIGN,40004 LAMAR DR,DEL CITY,OK,73115,Vicki,0
OPHELIA'S HAIR DESIGN,828 S AIR DEPOT,MIDWEST CITY,OK,73110,Vicki,291.6
OUTLOOK SALON,639 NW 7TH,MOORE,OK,73160,Vicki,0
OUTPOST GALLERY,RT 1 BOX 14,KINGFISHER,OK,73750,Michael,899.03
PALA HAIR SALON,3815 NW SANTA FE,OKLAHOMA CITY,OK,73103,Pam,465.55
PAM HENTHORN,11000 BLUE STEM DRIVE,OKLAHOMA CITY,OK,73162,Pam,507.51
PAN'S HAIR SENSATIONS,1001 W MEMORIAL ,OKLAHOMA CITY,OK,73114,Michael,328.98
PARADISE TAN,1020 N BROADWAY ,ADA,OK,74820,Vicki,169
PARK PLACE SALON,11524 NE 23RD ST,NICOMA PARK,OK,73066,Vicki,57.47
PARK SALON,12100 N MAY  ,OKLAHOMA CITY,OK,73120,Pam,1213.41
PATRICIA TARIN,608 1/2 N EVANS AVE,EL RENO,OK,73036,Pam,0
PAT'S CHAT & CURL,1609 13TH ST,WOODWARD,OK,73801,Pam,0
PAT'S PHASE II,120 N ROBINSON ,OKLAHOMA CITY,OK,73120,Vicki,239.49
PATTON'S,329 N VAN BUREN,ENID,OK,73701,Michael,4966.21
PAYNELESS IMAGE SALON,2401 WILCOX DR,NORMAN,OK,73069,Vicki,0
PERFECT CUTS,18OO S AIR DEPOT,MIDWEST CITY,OK,73110,Vicki,124.81
PERFECT IMAGE,8401 S WESTERN,OKLAHOMA CITY,OK,73139,Vicki,2415.27
PERFECT M SALON & SPA,1432 PIEDMONT RD N ,PIEDMONT,OK,73078,Pam,96.59
PHIL LOGSDONS SALON,3003 NW 63RD,OKLAHOMA CITY,OK,73116,Pam,0
PHOENIX SALON,122 NW 36TH,NORMAN,OK,73072,Vicki,349.37
PINE STREET,211 N PINE ST,GUTHRIE,OK,73044,Michael,0
PIT STOP,821 SE 4TH ST,MOORE,OK,73160,Vicki,0
PLATINUM SALON,704 N MAIN ST,STILLWATER,OK,74075,Michael,0
PLATINUM SOLO,110 E LAKEVIEW,STILLWATER,OK,74075,Michael,1029.52
PLUSH SALON & SPA,10400 S WESTERN,OKLAHOMA CITY,OK,73139,Vicki,82.77
PMAC ACADEMY,212 W PAUL AVE,PAULS VALLEY,OK,73075,Vicki,61.66
"PMHS-LR, LLC",3030 WILLIAM PEREIRA DRIVE,NORMAN,OK,73072,Vicki,51213.23
POLISHED BEAUTY BAR,1130 RAMBLING OAKS DR ,NORMAN,OK,73072,Vicki,4041.03
POLISHED IMAGE SALON,11212 N MAY ,OKLAHOMA CITY,OK,73120,Pam,352.65
PONTOTOC TECHNOLOGY,601 W 33RD,ADA,OK,74820,Vicki,898.08
POSH NAIL & SALON,7109 W HEFNER RD ,OKLAHOMA CITY,OK,73162,Pam,127.11
POSITIVE IMPRESSIONS,5900 NW 45TH ST,OKLAHOMA CITY,OK,73122,Michael,246.62
POSITIVELY YOU,9401 E RENO,MIDWEST CITY,OK,73110,Vicki,766.64
PRESTIGE,66 E 15TH ST,EDMOND,OK,73013,Michael,408.99
PURE SPA,3011 NW 63RD,OKLAHOMA CITY,OK,73116,Pam,53.8
QUAIL PLAZA BARBER SHOP,10940 N MAY,OKLAHOMA CITY,OK,73120,Pam,0
RACHEL ALVISO,1632 S STONEWALL,OKLAHOMA CITY,OK,73129,Vicki,33.12
RACHEL'S SALON & BARBER,107 N EASTERN AVE,MOORE,OK,73160,Vicki,38.8
RAPHEALA SALON & SPA,5908 W HEFNER RD,OKLAHOMA CITY,OK,73162,Pam,306.66
RAZMATAZZ,2308 W WILLOW,ENID,OK,73703,Michael,0
RAZORS EDGE,1220 MAIN ST,WOODWARD,OK,73801,Pam,0
RAZORZ,8911 SE 29TH ,MIDWEST CITY,OK,73130,Vicki,138.6
RED 7,8864 S WESTERN,OKLAHOMA CITY,OK,73139,Vicki,529.94
RED DOOR SALON,216 W HWY 152,MUSTANG,OK,73064,Pam,1075.62
REFLECTIONS SALON,904 MAIN ST,WOODWARD,OK,73801,Pam,2168.08
REFLEXIONS,211 N MAIN,RINGWOOD,OK,73768,Michael,0
RENAISSANCE,1044 N BROADWAY,EDMOND,OK,73013,Michael,53.32
RENAISSANCE SALON OF COALGATE,33 N MAIN,COALGATE,OK,74538,Vicki,0
RENUE SALON,2123 RIVERWALK DR,MOORE,OK,73160,Vicki,821.87
REVEL 8 SALON,201 NW 10TH ST,OKLAHOMA CITY,OK,73106,Michael,3514.15
REVEL8,201 NW 10TH ST ,OKLAHOMA CITY,OK,73103,Pam,62.37
REVIVE SALON,5500 N WESTERN,OKLAHOMA CITY,OK,73118,Michael,0
REX VII,714 SOUTH WESTERN,STILLWATER,OK,74074,Michael,3291.89
RHAINEY DAY SALON,721 S OAKWOOD RD ,ENID,OK,73703,Michael,324.69
RHINESTONE RAZOR,1608 W GORE,LAWTON,OK,73501,Vicki,0
RHODA HODGSEN,2800 N CLEVELAND ST,ENID,OK,73703,Michael,129
RHONDAVOUS SALON,4209 N MCARTHUR,OKLAHOMA CITY,OK,73122,Michael,217.61
RICHMOND SQUARE STYLE SHOP,4900 RICHMOND SQUARE DR,OKLAHOMA CITY,OK,73118,Pam,617.45
RICKY'S BEAUTY SALON,1035 SW 59TH,OKLAHOMA CITY,OK,73109,Pam,4884.22
RJ'S SALON & SPA,80 E 5TH ST,EDMOND,OK,73013,Michael,530.37
ROCHEL DION'S HAIR LOUNGE,1333 W BRITTON RD ,OKLAHOMA CITY,OK,73114,Pam,0
ROCK N SCISSOR SALON,2422 E HWY 37,TUTTLE,OK,73089,Vicki,182.76
ROCK PAPER SCISSOR HAIR STUDIO,1121 ELM AVE,NORMAN,OK,73072,Vicki,4401.07
ROCKCREEK STATION,907 JIM THORPE BLVD,PRAGUE,OK,74864,Vicki,0
ROCY'S,1135 N ROCKWELL,OKLAHOMA CITY,OK,73127,Pam,1092.84
ROOT 66,8372 NW 39TH EXPWY,BETHANY,OK,73008,Pam,989.63
ROOT 67,8372 NW 39TH EXPWY,BETHANY,OK,73008,Michael,149.36
ROOTS,306 N VAN BUREN,ELK CITY,OK,73644,Pam,2022.36
ROSA'S SALON,5844 NW 50TH,OKLAHOMA CITY,OK,73122,Pam,289.92
ROUGE,45 E 9TH ST,EDMOND,OK,73034,Michael,5393.15
ROYAL RAZOR BARBER SHOP,114 ROCK ISLAND AVE,EL RENO,OK,73036,Pam,0
RUMORS SALON & SPA,1615 STATE ST,EDMOND,OK,73013,Michael,22.55
RUTZ SALON,7301 N CLASSEN BLVD,OKLAHOMA CITY,OK,73116,Pam,5353.95
S R CHAS,705 S OAK WOOD ,ENID,OK,73703,Michael,774.74
S STUDIO SALON & DAY SPA,2528 W MEMORIAL RD,OKLAHOMA CITY,OK,73134,Michael,2845.95
SAFFRON SALON & SPA,2832 W WILSHIRE BLVD,OKLAHOMA CITY,OK,73116,Pam,2972.34
SALON & SPA ON SPRINGCREEK,1476 S BRYANT,EDMOND,OK,73034,Michael,12768.76
SALON 1062,1062 MULBERRY MANSION,YUKON,OK,73099,Pam,201.99
SALON 1104,1104 NW 50TH,OKLAHOMA CITY,OK,73118,Pam,679.32
SALON 120,120 E VANDAMENT,YUKON,OK,73099,Pam,195.2
SALON 152,1825 S MORGAN RD,OKLAHOMA CITY,OK,73128,Pam,97.35
SALON 180,4045 NW 64TH ,OKLAHOMA CITY,OK,73116,Pam,0
SALON 2821,2821 NW 57TH ST,OKLAHOMA CITY,OK,73116,Pam,0
SALON 724,724 W MAIN,YUKON,OK,73099,Pam,1272.83
SALON 9309,9309 N PENNSYLVANIA AVE,OKLAHOMA CITY,OK,73120,Pam,3953.6
SALON AVIGNON,418 E 2ND STREET,EDMOND,OK,73034,Michael,1203.67
SALON CHEVEUX,2350 N INTERSTATE DR,NORMAN,OK,73072,Vicki,745.78
SALON D'BELLA,5701 N WESTERN ,OKLAHOMA CITY,OK,73118,Pam,2437.66
SALON ECLIPSE,267 34TH AVE SW,NORMAN,OK,73072,Vicki,0
SALON ENDEAVOR,9101 S WESTERN ,OKLAHOMA CITY,OK,73139,Vicki,0
SALON ENVY,5021 N ROCKWELL AVE,BETHANY,OK,73008,Michael,1393.7
SALON ESCAPE,2814 SW 104TH ST,OKLAHOMA CITY,OK,73159,Vicki,2375.17
SALON ESCOTT,109 N BICKFORD,EL RENO,OK,73036,Pam,1680.03
SALON ESSENTIALS,3750 W MAIN,NORMAN,OK,73072,Vicki,1076.05
SALON EUPHORIA,106 N WENTZ,GUTHRIE,OK,73044,Michael,109.23
SALON EVOLVE,1046 E 2ND ST,EDMOND,OK,73034,Michael,60.35
SALON FRINGE,300 S RANCHWOOD BLVD,YUKON,OK,73099,Pam,1450.41
SALON GENESIS,2640 SW 28TH ST,OKLAHOMA CITY,OK,73109,Pam,1672.97
SALON HIGHLINE,4411 N HIGHLINE ,OKLAHOMA CITY,OK,73108,Pam,1667.47
SALON INFERNO,13316 S WESTERN,OKLAHOMA CITY,OK,73170,Vicki,588.08
SALON INFERNO-NORMAN,1328 N INTERSTATE DR,NORMAN,OK,73072,Vicki,973.47
SALON J,1119 E DAVIS,WEATHERFORD,OK,73096,Pam,3889.3
SALON KLEIO,1219 36TH AVE,NORMAN,OK,73072,Vicki,197.34
SALON LAKOTA,114 S MAIN,STILLWATER,OK,74075,Michael,4150.69
SALON LUXE,4401 W MEMORIAL RD,OKLAHOMA CITY,OK,73134,Pam,0
SALON MANE ATTRACTION,105 S ROCK ISLAND,EL RENO,OK,73036,Pam,151.21
SALON ON THE PLAZA,10938 N MAY AVE,OKLAHOMA CITY,OK,73120,Pam,42.31
SALON PARIS,1500 SW 89TH ST,OKLAHOMA CITY,OK,73159,Vicki,0
SALON PRODIGY,749 SW 89TH,OKLAHOMA CITY,OK,73139,Vicki,199.25
SALON ROUGE,3000 N MAY ,ALTUS,OK,73521,Vicki,0
SALON ROUGE,916 NW 32ND,NEWCASTLE,OK,73089,Vicki,132
SALON SENSATION,7876 S WESTERN,OKLAHOMA CITY,OK,73139,Vicki,76.09
SALON TANGLEZ,7901 NE 10TH ST,MIDWEST CITY,OK,73110,Vicki,0
SALON THERAPY,10320 S PENN ,OKLAHOMA CITY,OK,73159,Vicki,2973.96
SALON THREE-SIXTY,360 NW 24TH ,NORMAN,OK,73069,Vicki,8893.78
SALON W,7304 N WESTERN,OKLAHOMA CITY,OK,73116,Pam,11818.96
SALON WEST,11607 S WESTERN,OKLAHOMA CITY,OK,73170,Vicki,1945.74
SALON ZEN,104 S PORTER AVE,NORMAN,OK,73069,Vicki,562.1
SALONE BRIGATA,316 W EDMOND RD,EDMOND,OK,73003,Michael,0
SANDSTONE COTTAGE,1804 S DIVISION ST,GUTHRIE,OK,73044,Michael,85
SANDY'S FAMILY HAIR CUTTERS,510 S OAKWOOD,ENID,OK,73703,Michael,2778.36
SANTA FE SALON,2700 N SANTA FE,MOORE,OK,73160,Vicki,649.99
SASSY LOOKS,1213 SW 89TH,OKLAHOMA CITY,OK,73159,Vicki,141.07
SAVVY CUTS & COLORS,3926 COLLEGE,BETHANY,OK,73008,Michael,0
SCHARDEIN & COMPANY,9401 N MAY AVE,OKLAHOMA CITY,OK,73120,Pam,3157.95
SCISSOR TALK,4532 NW 50TH,OKLAHOMA CITY,OK,73122,Michael,60.52
SCISSOR TALK,505 1/2 FRISCO AVE,CLINTON,OK,73601,Pam,291.35
SCISSORTAILS,826 E 15TH AVE,STILLWATER,OK,74074,Michael,806.35
SCISSORTALE SALON,807 N HUDSON AVE,OKLAHOMA CITY,OK,73102,Michael,1153.19
SCIZZOR WORKS,1013 S MERIDIAN,OKLAHOMA CITY,OK,73108,Pam,548.38
SCOTT RISK HAIR STUDIO,2751 NW EXPRESSWAY,OKLAHOMA CITY,OK,73112,Vicki,216
SENERGY SALON,2123 N UNIVERSITY DR,NORMAN,OK,73069,Vicki,58.06
SERENDIPITY SALON,429 E STATE HWY 152,MUSTANG,OK,73064,Pam,3144.52
SERENITY NOW DAY SPA,116 N BROAD ,GUTHRIE,OK,73044,Michael,0
SERENITY PLACE DAY SPA,500 N FINANCIAL ,MUSTANG,OK,73064,Pam,0
SERENITY SALON & SPA,5699 SKYLAR RIDGE RD,PIEDMONT,OK,73078,Pam,0
SERENITY SPRINGS WELLNESS SPA,518 W MAPLE,ENID,OK,73701,Michael,438
SHABBY CHIC,1950A CHURCH AVE,HARRAH,OK,73045,Vicki,0
SHAGGY'S,861 S MUSTANG RD,YUKON,OK,73099,Vicki,20522.67
SHAMPOO SALON,7840 S WESTERN,OKLAHOMA CITY,OK,73139,Pam,1002.1
SHAPERS,513 W GRAY ST,NORMAN,OK,73069,Vicki,60.55
SHAPER'S,513 W GRAY ST,NORMAN,OK,73069,Vicki,72.06
SHAYLA SALON,3816 NW 23RD,OKLAHOMA CITY,OK,73107,Michael,163.81
SHEAR BLISS & MORE,36 W MEMORIAL ,OKLAHOMA CITY,OK,73114,Michael,2025.69
SHEAR BLYSS,1206 NW 12TH ST,MOORE,OK,73160,Vicki,1299
SHEAR CHAOS,5850 NW 72ND PL,OKLAHOMA CITY,OK,73132,Michael,9.63
SHEAR CLASS,907 E 35TH,SHAWNEE,OK,74804,Vicki,3007.5
SHEAR EXTREME,9130 S WALKER,OKLAHOMA CITY,OK,73139,Vicki,69.33
SHEAR IMAGE,16317 M SANTA FE,EDMOND,OK,73013,Michael,0
SHEAR INSPIRATIONS,2509 N VAN BUREN,ENID,OK,73703,Michael,1926.71
SHEAR LUCKEY STYLING SALON,712 E 6TH ST ,STILLWATER,OK,74074,Michael,41.99
SHEAR MADDNESS,1312 S MORGAN RD,OKLAHOMA CITY,OK,73128,Pam,0
SHEAR MAGIK,802 W MAINE AVE ,ENID,OK,73701,Michael,126.72
SHEAR PERFECTION,10613 S WESTERN,OKLAHOMA CITY,OK,73170,Vicki,2639.93
SHEAR PERFECTIONS,2231 NE 23RD ST,OKLAHOMA CITY,OK,73111,Vicki,155.25
SHEAR SENSATION,113 N 2ND ST,GUTHRIE,OK,73044,Michael,0
SHEAR SENSATIONS,312 S. MIDWEST BLVD,MIDWEST CITY,OK,73110,Vicki,175.75
SHEAR SHACK,209 W MAIN,TUTTLE,OK,73089,Vicki,0
SHERRI AND COMPANY,109 S BROADWAY,EDMOND,OK,73034,Michael,261.73
SHINE SALON,1016 S MAIN ST,STILLWATER,OK,74074,Michael,1086.65
SHIRAL'S ULTIMATE LOOKS,4330 SE 29TH ST ,DEL CITY,OK,73115,Vicki,414.1
SHOP 2201,2201 BELLVIEW DR,OKLAHOMA CITY,OK,73112,Pam,1871.98
SIGNATURE SALON,711 SW B AVE,LAWTON,OK,73507,Vicki,0
SILVER LEAF SALON,609 S KELLY ,EDMOND,OK,73003,Michael,0
SIMPLY DIVINE,11026 N ROCKWELL AVE,OKLAHOMA CITY,OK,73162,Pam,1579.44
SIMPLY SHEAR SALON,543 E STATE HWY 152 ,MUSTANG,OK,73064,Pam,2880.04
SIMPLY YOU,1533 N HARRISON ST,SHAWNEE,OK,74804,Vicki,0
SLIM'S HAIR CENTER,214 ODOR ST,ARCADIA,OK,73007,Michael,0
SOLUTIONS,105 N MAIN,NOBLE,OK,73533,Vicki,0
SOLUTIONS,201 W OAK ST,BINGER,OK,73009,Pam,640.9
SOLVEY'S BEAUTY SALON,5830 S AGNEW AVE,OKLAHOMA CITY,OK,73119,Pam,0
SONDRA'S,RT 1 BOX 271,PAULS VALLEY,OK,73075,Vicki,45.1
SONG & FONG HAIR SALON,10721 N MAY ,OKLAHOMA CITY,OK,73120,Pam,748.09
SONGS SALON,1912 S BOULEVARD,EDMOND,OK,73013,Michael,1457.6
SOPHISTI-CUTS,3910 N COLLEGE AVE,BETHANY,OK,73008,Michael,547.22
SOS SALON,215 S CZECH HALL RD,YUKON,OK,73099,Pam,16.92
SPLASH OF COLOR,3225 SW 66TH ST,OKLAHOMA CITY,OK,73159,Pam,449.64
SPLIT ENDZ,2630 W BRITTON RD,OKLAHOMA CITY,OK,73114,Pam,0
SPLIT PERSONALITY,206 S HOY,BUFFALO,OK,73834,Vicki,1921.98
SPORT CLIPS OK202,1118 E 2ND ST,EDMOND,OK,73034,Vicki,174.43
SPORT CLIPS OK203,2410 W MEMORIAL RD ,OKLAHOMA CITY,OK,73134,Vicki,0
SPORT CLIPS-OK201,670 ED NOBLE PARKWAY,NORMAN,OK,73072,Vicki,0
SPORT CLIPS-OK202,1118 E 2ND ST,EDMOND,OK,73034,Vicki,0
SPORT CLIPS-OK204,7640 NW EXPRESSWAY,OKLAHOMA CITY,OK,73132,Vicki,0
SPORT CLIPS-OK205,1771 GARTH BROOKS BLVD,YUKON,OK,73099,Vicki,0
SPORT CLIPS-OK206,5932 SW 4TH TERRACE,OKLAHOMA CITY,OK,73128,Vicki,0
SPORT CLIPS-OK207,7201 SE 29TH ST,OKLAHOMA CITY,OK,73110,Vicki,0
SPORT CLIPS-OK208,1428 24TH AVE NW ,NORMAN,OK,73069,Vicki,0
SPORT CLIPS-SOUTH OKLAHOMA CITY,10440 S WESTERN,OKLAHOMA CITY,OK,73139,Vicki,0
STAR SALON,109 W MAIN,MOORE,OK,73160,Vicki,54
STARLITE HAIR SALON,719 NW 23RD ST,OKLAHOMA CITY,OK,73103,Michael,2393.85
STATE BARBER COLLEGE,2514 S AGNEW AVE,OKLAHOMA CITY,OK,73108,Pam,0
STUDIO 110,110 THOMPSON DR,NORMAN,OK,73069,Vicki,2938.44
STUDIO 122,2932 NW  122ND ,OKLAHOMA CITY,OK,73120,Pam,449.16
STUDIO 128,7508 WEGNER WAY,OKLAHOMA CITY,OK,73162,Pam,23.65
STUDIO 14,1016 MAIN ST,WOODWARD,OK,73801,Pam,1129.12
STUDIO 180,7901 NE 10TH,MIDWEST CITY,OK,73110,Vicki,519.23
STUDIO 221 SALON,221 W MAIN ST,PURCELL,OK,73080,Vicki,186
STUDIO 5,3140 W BRITTON RD,OKLAHOMA CITY,OK,73120,Pam,59.96
STUDIO 51,416 E JACK CHOATE,HENNESSEY,OK,73742,Michael,2935.14
STUDIO 66,211 S 4TH ST ,YUKON,OK,73099,Pam,40.61
STUDIO 750,750 W DANFORTH,EDMOND,OK,73003,Michael,0
STUDIO 77,1310 W HWY 77,PERRY,OK,73077,Michael,2079.88
STUDIO 824,824 SW 134TH ST,OKLAHOMA CITY,OK,73170,Vicki,2293.89
STUDIO 9,30 E 9TH,EDMOND,OK,73034,Michael,94.14
STUDIO ELAN,2300 S BROADWAY,EDMOND,OK,73013,Michael,280.04
STUDIO GRAND,7612 N MAY AVE,OKLAHOMA CITY,OK,73116,Pam,13096.35
STUDIO M,1824 NW 146TH STREET,EDMOND,OK,73013,Michael,248.26
STUDIO ONE,6850 NW 23RD,BETHANY,OK,73008,Michael,553.44
STUDIO SORELLE,5500 N WESTERN ,OKLAHOMA CITY,OK,73118,Pam,0
STUDIO TWO-O-ONE,201 W WILL ROGERS DR,KINGFISHER,OK,73750,Michael,2602.65
STUDIO ZEN,737 ASP AVE,NORMAN,OK,73069,Vicki,2270.8
STYLES BY MICHAEL,1415 NE 30TH,OKLAHOMA CITY,OK,73111,Pam,0
STYLES UNLIMITED,2114 S PENN,OKLAHOMA CITY,OK,73159,Vicki,0
SUBURBIA SALON,1600 E 19TH ST ,EDMOND,OK,73013,Michael,159.89
SUGAR & SHEARS,4117 NW 122ND,OKLAHOMA CITY,OK,73120,Pam,0
SUNSET HOUSE,804 SUNSET DR,EDMOND,OK,73003,Michael,194.1
SUPER HAIR & NAILS SALON,1211 N BROADWAY,MOORE,OK,73160,Vicki,0
SUPERIOR SALON & SPA,1231 SW 89TH ST,OKLAHOMA CITY,OK,73139,Vicki,0
SUPERIOR SPA & SALON,1231 SW 89TH ST,OKLAHOMA CITY,OK,73139,Vicki,613.13
SUSAN'S BARBER & STYLE,3308 SUNNYLANE RD,OKLAHOMA CITY,OK,73115,Vicki,44.76
SWEENEY TODD BARBER SHOP,609 S MAIN,STILLWATER,OK,74074,Michael,0
SYLVIA'S WIG WAM,12704 ST ANDREWS TERRACE,OKLAHOMA CITY,OK,73120,Pam,483.18
TAKE 5,580 BUCHANAN,NORMAN,OK,73069,Vicki,10.72
TALEYA PECK,106 S COUNTY ROAD,HUNTER,OK,74640,Michael,0
TANGLES,1323 E DANFORTH,EDMOND,OK,73034,Michael,15853.94
TANGLES HAIR STUDIO,1621 S I-35 SERVICE RD,MOORE,OK,73160,Vicki,3706.5
TAYLOR BELCHER,105 N MAIN,NOBLE,OK,73068,Vicki,257
TAYLOR TOPPER,4700 NW 23RD,OKLAHOMA CITY,OK,73127,Michael,520.17
TAYLORED HAIR DESIGN,10024 KAY RIDGE DR,YUKON,OK,73099,Pam,674.85
TEAM HAIR CUT,16606 N PENNSYLVANIA AVE,EDMOND,OK,73012,Michael,382.44
TEXTURE SALON,6512 NW EXPRESSWAY,OKLAHOMA CITY,OK,73132,Michael,117.31
THE ACADEMY OF HAIR DESIGN,11920 N MAY AVE,OKLAHOMA CITY,OK,73120,Pam,438.4
THE ALLDRIDGE,200 S BROADWAY,ADA,OK,74820,Vicki,0
THE BARBER SALON,120 N ROBINSON AVE,OKLAHOMA CITY,OK,73102,Vicki,0
THE BARBER SHOP,2705 N COUNCIL RD,BETHANY,OK,73127,Michael,0
THE BARBERY,733 ASP AVE,NORMAN,OK,73069,Vicki,512.57
THE BEAUTY CENTER,1213 PIEDMONT RD N,PIEDMONT,OK,73078,Pam,1883.41
THE BLONDE SALON,1108 PECAN HILL ST,STILLWATER,OK,74074,Michael,0
THE BOUTIQUE SALON,1024 N BROADWAY,ADA,OK,74820,Vicki,539.53
THE COLOR STUDIO,6051 N BROOK LINE ,OKLAHOMA CITY,OK,73112,Pam,544.93
THE COMMONS,301 S OAKWOOD,ENID,OK,73703,Michael,0
THE CONVENT,4300 W MEMORIAL RD,OKLAHOMA CITY,OK,73120,Pam,0
THE COYOTE UGLY SALON,8952 S WESTERN,OKLAHOMA CITY,OK,73139,Vicki,0
THE CUTT COMPANY,5710 E RENO,MIDWEST CITY,OK,73110,Vicki,1704.8
THE CUTTING EDGE,6917 E HWY 37,TUTTLE,OK,73089,Vicki,0
THE CUTTING EDGE SALON,1149 W 15TH,EDMOND,OK,73003,Michael,81
THE EMPORIUM SALON,516 FRISCO AVE,CLINTON,OK,73601,Pam,0
THE FUNKY MONKEY,305 E MAIN ST,MOORE,OK,73160,Vicki,150
THE GATHERING,6501 S WESTERN,OKLAHOMA CITY,OK,73139,Vicki,0
THE GUILD SALON,2001 S DOUGLAS BLVD,MIDWEST CITY,OK,73130,Vicki,381.88
THE HAIR CAFE,1120 N WALKER,OKLAHOMA CITY,OK,73103,Vicki,0
THE HAIR DESIGN STUDIO,1651 S PORTLAND,GUTHRIE,OK,73044,Michael,0
THE HAIR DOCTOR SALON,1083 N HARRAH ROAD,HARRAH,OK,73045,Vicki,180
THE HAIR FIRM LTD,2210 W WILLOW,ENID,OK,73703,Michael,0
THE HAIR GALLERY,1302 N KEY BLVD,MIDWEST CITY,OK,73110,Vicki,0
THE HAIR HOUSE,112 E 8TH ST,STILLWATER,OK,74074,Michael,434.18
THE HAIR SHAK,319 W 12TH ST,ADA,OK,74820,Vicki,426.16
THE HAIR SMITHS,205 N MAIN,BLANCHARD,OK,73010,Vicki,109.95
THE HAIR STOP,12700 W HWY 33,GUTHRIE,OK,73044,Michael,0
THE HAIR STORE,1108 NW 51ST ST,OKLAHOMA CITY,OK,73118,Pam,1460.65
THE HAIRXPERT,1370 N INTERSTATE ,NORMAN,OK,73072,Vicki,113.11
THE HAIRY COCONUT,11425 NE 23RD ST,CHOCTAW,OK,73020,Vicki,78.64
THE LOFT SALON & SPA,708 W 15TH ,EDMOND,OK,73013,Michael,47.3
THE LOOK HAIR DESIGNER,2833 SW 119TH,OKLAHOMA CITY,OK,73170,Vicki,9782.72
THE MAKE UP BAR,7646 N WESTERN AVE,OKLAHOMA CITY,OK,73116,Pam,1519.94
THE MANE EVENT,1340 4TH AVE NW,ARDMORE,OK,73401,Pam,204
THE MELVIN YORK SALON,402 W WALNUT,ENID,OK,73701,Michael,3863.33
THE NAILER,4117 NW 122ND ,OKLAHOMA CITY,OK,73120,Pam,420.16
THE PALMS,906 W MAIN,NORMAN,OK,73069,Vicki,256.99
THE PRISTINE SALON & SPA,103 NW MONROE AVE ,PIEDMONT,OK,73078,Pam,4470.86
THE RAGE HAIR SALON,2203 W MAIN ,NORMAN,OK,73069,Vicki,0
THE REFLECTION ROOM,115 S BICKFORD,EL RENO,OK,73036,Pam,13.18
THE SALON,1413 S VAN BUREN,ENID,OK,73703,Michael,0
THE SALON,1963 W LINDSEY,NORMAN,OK,73069,Vicki,818.26
THE SALON @ ROCKCREEK,2346 N INTERSTATE DR,NORMAN,OK,73072,Vicki,83.38
THE SALON AT COFFEE CREEK,775 W COVELL,EDMOND,OK,73003,Michael,1725.41
THE SALON ETC,300 N RENNIE,ADA,OK,74820,Vicki,7127.18
THE SCULPTUR KUT,1225 W MAIN ST  ,NORMAN,OK,73069,Vicki,503.56
THE SHOP,7829 NW 94TH,OKLAHOMA CITY,OK,73162,Pam,37.44
THE SHOPPE,305 N 7TH,PERRY,OK,73077,Michael,1064.76
THE SILVER CLIPPER,OSU STUDENT UN ,STILLWATER,OK,74078,Michael,843.82
THE SMITH SHOP,106 S CRAWFORD,NORMAN,OK,73069,Vicki,4965.56
THE SPOT SALON,717 W MAIN ST,YUKON,OK,73099,Pam,1744.61
THE SPOTTED ZEBRA,5801 W BRITTON RD ,OKLAHOMA CITY,OK,73162,Pam,1127.38
THE STUDIO,2315 DOWNS AVE,WOODWARD,OK,73801,Pam,3851.51
THE STUDIO,3325 FRENCH PARK DR ,EDMOND,OK,73034,Pam,0
THE TAILORED LOOK,2434 N JANEWAY,MOORE,OK,73160,Vicki,636.66
THE THREE GRACES SALON & SPA,7108 N WESTERN AVE ,OKLAHOMA CITY,OK,73116,Pam,7494.18
THE TRANSITION,764 ASP AVE,NORMAN,OK,73069,Vicki,318.86
THE VAN CLEEF'S SALON LLC,6452 AVONDALE DR,OKLAHOMA CITY,OK,73116,Pam,6578.85
THE VANITY BOX SALON,1220 N MAIN ST ,NEWCASTLE,OK,73065,Vicki,0
THE VINE,424 S DUCK,STILLWATER,OK,74074,Michael,12239.96
THE WILD MOOSE,115 CHERRYWOOD DR,MIDWEST CITY,OK,73110,Vicki,0
THE ZEBRA RANCH,100 E MAIN ST,HINTON,OK,73047,Pam,1535.6
THREE GENERATIONS,809 S LOWRY,STILLWATER,OK,74074,Michael,0
